file1.txt;N;1;2;0;10
file1.txt;O;5;7;0;83
file1.txt;W;5;14;6;2
file1.txt;W;5;19;34;2000
file2.txt;N;2;2;0;200
file2.txt;C;7;7;0;0
file2.txt;O;3;4;0;0
file2.txt;R;3;5;51;100
file3.txt;O;3;3;0;2
file3.txt;N;3;8;0;30
file3.txt;O;9;9;0;0
file3.txt;C;9;10;0;0
file3.txt;C;9;11;0;0
file3.txt;O;9;14;0;0
file3.txt;W;9;14;0;400
file3.txt;R;9;23;51;200
file4.txt;N;4;1;0;4
file4.txt;O;4;6;0;0
file4.txt;W;4;8;0;1500
file4.txt;W;4;9;450;10
file4.txt;R;7;7;805;400
file4.txt;D;4;8;0;0
file4.txt;C;5;15;0;0
file4.txt;C;4;17;0;0
file5.txt;N;4;4;0;600
file5.txt;O;8;14;0;0
file5.txt;W;8;12;0;68
file5.txt;R;8;17;5;90
file5.txt;D;8;18;0;0
file5.txt;C;8;17;0;0
